id,model_name,path,repetition,backbone,downstream,cap,iou,f1
57dfa624540970c0e6bffca8c50d6b83,V10_pre_f3_norm_train_f3_N_cap_10%,../saves/models/V10/V10_pre_f3_norm_train_f3_N_cap_10%,V10,f3_norm,f3_N,0.1,0.6565386056900024,0.8920177221298218
47b6ec48fd11dc3fc53e684cbd293020,V10_pre_f3_norm_train_f3_N_cap_50%,../saves/models/V10/V10_pre_f3_norm_train_f3_N_cap_50%,V10,f3_norm,f3_N,0.5,0.6866639852523804,0.8968603014945984
632232369c3ed3804a3595a90e8c9806,V10_pre_f3_norm_train_f3_N_cap_100%,../saves/models/V10/V10_pre_f3_norm_train_f3_N_cap_100%,V10,f3_norm,f3_N,1.0,0.7319061756134033,0.9161508679389954
027b3ffee3be9f0c4ca2a16c435e71f4,V10_pre_f3_norm_train_seam_ai_cap_1%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_cap_1%,V10,f3_norm,seam_ai,0.01,0.5338044166564941,0.8101146221160889
c13aef7950063f7e3fd5d1a568730a0c,V10_pre_f3_norm_train_seam_ai_cap_10%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_cap_10%,V10,f3_norm,seam_ai,0.1,0.7083467245101929,0.8803953528404236
2ddcce04ec5d1a6607b161638fe9cffc,V10_pre_f3_norm_train_seam_ai_cap_50%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_cap_50%,V10,f3_norm,seam_ai,0.5,0.7063173651695251,0.8807665109634399
bb3325ca1f5c39314078a1479a522a5f,V10_pre_f3_norm_train_seam_ai_cap_100%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_cap_100%,V10,f3_norm,seam_ai,1.0,0.7257290482521057,0.8891232013702393
c3cb61c21fe339818e18fb11a297deaf,V10_pre_f3_norm_train_seam_ai_N_cap_1%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_N_cap_1%,V10,f3_norm,seam_ai_N,0.01,0.5666889548301697,0.8061332106590271
77a43161fee85b6b4f6e3f07fd80e2da,V10_pre_f3_norm_train_seam_ai_N_cap_10%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_N_cap_10%,V10,f3_norm,seam_ai_N,0.1,0.681686282157898,0.8763278126716614
2463cdacd13436e58dadeef50deaa1d9,V10_pre_f3_norm_train_seam_ai_N_cap_50%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_N_cap_50%,V10,f3_norm,seam_ai_N,0.5,0.7290592193603516,0.8937389254570007
d3b3937967badbafb3b1238986aeafd8,V10_pre_f3_norm_train_seam_ai_N_cap_100%,../saves/models/V10/V10_pre_f3_norm_train_seam_ai_N_cap_100%,V10,f3_norm,seam_ai_N,1.0,0.725897490978241,0.8922042846679688
b591bb2f00fe4c0dfc9205485a7bf84f,V10_pre_seam_ai_train_f3_cap_1%,../saves/models/V10/V10_pre_seam_ai_train_f3_cap_1%,V10,seam_ai,f3,0.01,0.4313872456550598,0.7989148497581482
e261c1da714b4c5722bfd6a4592eaa26,V10_pre_seam_ai_train_f3_cap_10%,../saves/models/V10/V10_pre_seam_ai_train_f3_cap_10%,V10,seam_ai,f3,0.1,0.6703934669494629,0.897162675857544
cfe1799ebd1da8d80c662375ddb6f096,V10_pre_seam_ai_train_f3_cap_50%,../saves/models/V10/V10_pre_seam_ai_train_f3_cap_50%,V10,seam_ai,f3,0.5,0.6953365802764893,0.8981794714927673
9cafc97c1ad7ace73af7521b9c975545,V10_pre_seam_ai_train_f3_cap_100%,../saves/models/V10/V10_pre_seam_ai_train_f3_cap_100%,V10,seam_ai,f3,1.0,0.7149367332458496,0.9114469885826111
3ae2b32f3b1735403d9be72dcfe8c37f,V10_pre_seam_ai_train_f3_N_cap_1%,../saves/models/V10/V10_pre_seam_ai_train_f3_N_cap_1%,V10,seam_ai,f3_N,0.01,0.5231403112411499,0.8330085277557373
193b3bcb877b0d3227205bb5b673c463,V10_pre_seam_ai_train_f3_N_cap_10%,../saves/models/V10/V10_pre_seam_ai_train_f3_N_cap_10%,V10,seam_ai,f3_N,0.1,0.6853275895118713,0.9010162353515625
2a4c82d42ede9920ef8b4286183d844b,V10_pre_seam_ai_train_f3_N_cap_50%,../saves/models/V10/V10_pre_seam_ai_train_f3_N_cap_50%,V10,seam_ai,f3_N,0.5,0.7128148674964905,0.9157187938690186
884a31dee0c5e709dc8a8c3ed8a80670,V10_pre_seam_ai_train_f3_N_cap_100%,../saves/models/V10/V10_pre_seam_ai_train_f3_N_cap_100%,V10,seam_ai,f3_N,1.0,0.7133861780166626,0.9070829749107361
6c16d051fb70a7783e450594cc9f0e70,V10_pre_seam_ai_train_seam_ai_cap_1%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_cap_1%,V10,seam_ai,seam_ai,0.01,0.6446458101272583,0.8095886707305908
aca859033614db74bde9117536b0c836,V10_pre_seam_ai_train_seam_ai_cap_10%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_cap_10%,V10,seam_ai,seam_ai,0.1,0.6758291721343994,0.8760437965393066
438d1b221d56d11ede74905c75164355,V10_pre_seam_ai_train_seam_ai_cap_50%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_cap_50%,V10,seam_ai,seam_ai,0.5,0.6922320127487183,0.8817381858825684
cf8106128358748c2a12163979b0430b,V10_pre_seam_ai_train_seam_ai_cap_100%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_cap_100%,V10,seam_ai,seam_ai,1.0,0.6826331615447998,0.8802409172058105
ae929d603802b11d8a94aebe5628ab48,V10_pre_seam_ai_train_seam_ai_N_cap_1%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_N_cap_1%,V10,seam_ai,seam_ai_N,0.01,0.6087129712104797,0.8297618627548218
cc567187174647d738fd56d1151d5d85,V10_pre_seam_ai_train_seam_ai_N_cap_10%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_N_cap_10%,V10,seam_ai,seam_ai_N,0.1,0.6837397813796997,0.8649337887763977
ff5e5bfb67d9e4b9d842e39d0ec8e720,V10_pre_seam_ai_train_seam_ai_N_cap_50%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_N_cap_50%,V10,seam_ai,seam_ai_N,0.5,0.7040252685546875,0.886221706867218
ab5d1de1f52b0ce460ca6e705207e364,V10_pre_seam_ai_train_seam_ai_N_cap_100%,../saves/models/V10/V10_pre_seam_ai_train_seam_ai_N_cap_100%,V10,seam_ai,seam_ai_N,1.0,0.6985933780670166,0.8883110880851746
434a5a7b40bef2fb1d6148bdb13c6ceb,V10_pre_seam_ai_norm_train_f3_cap_1%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_cap_1%,V10,seam_ai_norm,f3,0.01,0.36596861481666565,0.7559481263160706
6d6d75f8d3907b447615f406c1dcd57f,V10_pre_seam_ai_norm_train_f3_cap_10%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_cap_10%,V10,seam_ai_norm,f3,0.1,0.6290298700332642,0.8770252466201782
9ad698d02297d609e09f75617ff3d0ad,V10_pre_seam_ai_norm_train_f3_cap_50%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_cap_50%,V10,seam_ai_norm,f3,0.5,0.7255585193634033,0.9140118956565857
9059c4bb35db65cc6279601c758f03e1,V10_pre_seam_ai_norm_train_f3_cap_100%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_cap_100%,V10,seam_ai_norm,f3,1.0,0.7153196334838867,0.9041831493377686
a897c96af679c16746a1978010bc3f85,V10_pre_seam_ai_norm_train_f3_N_cap_1%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_N_cap_1%,V10,seam_ai_norm,f3_N,0.01,0.46565577387809753,0.8072385191917419
8308d625ea25b4603e994788b4ec12be,V10_pre_seam_ai_norm_train_f3_N_cap_10%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_N_cap_10%,V10,seam_ai_norm,f3_N,0.1,0.66716468334198,0.8878458142280579
352c19c3c3f5fa164513f40998f74ccb,V10_pre_seam_ai_norm_train_f3_N_cap_50%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_N_cap_50%,V10,seam_ai_norm,f3_N,0.5,0.7222778797149658,0.9168229699134827
634e783a6cc935d6246c56d61d82090f,V10_pre_seam_ai_norm_train_f3_N_cap_100%,../saves/models/V10/V10_pre_seam_ai_norm_train_f3_N_cap_100%,V10,seam_ai_norm,f3_N,1.0,0.7075140476226807,0.9052560925483704
